['GiletsJaunes'],RT @lesbleus2007: Les Mohamed et les Nadir sont-ils #GiletsJaunes ?,ouioui__,
['GiletsJaunes'],RT @BrunoPaumard: #GiletsJaunes La minute Boulo en ce jour de début de grève générale pour la dissolution de l’assemblée nationale et le re…,Laurent384953,France
['Lyon'],RT @Libre_Insolent: #Lyon : la police nationale se met hors la loi en obligeant les manifestants à retirer leur gilet jaune pour circuler l…,giletjaun,France
"['GiletsJaunes', 'ActeXII']","La voix des gens ( #GiletsJaunes, #ActeXII), le reportage de @despotica | ANTIPRESSE https://t.co/cdDgdirqW3 https://t.co/waVoA6KhuS",antipresse_net,
"['antifas', 'Giletsjaunes', 'acte12']","RT @RTenfrancais: «Dégagez ! Dégagez !» : des «#antifas» expulsés par des #Giletsjaunes lors de l'#acte12 (VIDEO)

➡️ https://t.co/YbgkIw9B…",mydaphne,
['GiletsJaunes'],"RT @RachidaElAzzz: En bas de @mediapart, ce soir, des #GiletsJaunes demandent s’ils peuvent se rassembler pour le droit de savoir, la liber…",cedricivanov,
['GreveGenerale5fevrier'],"RT @MrUgoThomas: Le cortège sans fin de la #GreveGenerale5fevrier arrive a Concorde, impressionnant ✊
On peut tous être fiers de notre mobi…",CIndigne,à l'ouest
[],"RT @MaximeCochard_: Amazon, l'entreprise qui s'assoit sur le fisc, refuse de verser les 1000€ de prime Macron, engrange le CICE, détruit no…",TeffChris,
"['Greve5fevrier', 'GiletsJaunes', 'MacronDémission']","RT @FI_Paris19: Le 19e présent à la #Greve5fevrier avec la CGT et les #GiletsJaunes 
Du monde, de la détermination, des #MacronDémission !…",smj1er,sur terre 
[],RT @krago56: Ah bon et tout ces journalistes qui disaient que comme Hollande une fois descendu à 20% il ne peut remonter ils avaient dit au…,she534," Bullet,Suisse."
"['GiletsJaunes', 'amitié']","RT @giuliagena: #GiletsJaunes, vous faites une ‘révolution de l’#amitié’!!!
franchement @ToJaune vous avez trop assuré d’inviter @VincentCe…",fleurderevolte,
"['GiletJaune', 'GiletsJaunes', 'GreveGenerale5Fevrier']","RT @imhotep1338: On demande juste le pouvoir de vivre.
C est un cri de désespoir.
#GiletJaune #GiletsJaunes #GreveGenerale5Fevrier
https://…",imhotep1338,"Finistère, Bretagne"
[],Nos jeunes ont un énorme boulot d'éducation des vieux aux médias alternatifs et de traitement de l'info sur ces méd… https://t.co/oSd7rc3u4g,shaunth42055656,France
[],"RT @Ugobernalicis: Face à la panique qui gagne votre @GouvernementFR et le monarque, votre réflexe sécuritaire se transforme en dérive auto…",alamure,Normandie
[],"RT @Ugobernalicis: Face à la panique qui gagne votre @GouvernementFR et le monarque, votre réflexe sécuritaire se transforme en dérive auto…",ortaram,
"['GiletsJaunes', '5fevrier']","RT @SyndicatC: Soutien à @Mediapart, un journaliste prend la parole pour remercier les #GiletsJaunes #5fevrier https://t.co/TdJ8EwQH09",harry_cow,
"['AssembleeNationale', 'GiletsJaunes', 'riens', 'GrandDebatNational']","RT @Callystor: Devant l'#AssembleeNationale comme face aux #GiletsJaunes et autres #riens avec le simulacre de #GrandDebatNational, le régi…",Melguen,Là
['GiletsJaunes'],"RT @PureTele: ⚡️TOULOUSE / Le péage Nord, à hauteur de Sesquières est complètement bloqué ⛔️ par les #GiletsJaunes dans le cadre de la #Gre…",CIndigne,à l'ouest
