,tweet,retweets
4598,"Mais aucun soutien de la ""gauche indignée"" par les inégalités et la pauvreté !!! Où sont les Benabar ? Binoche ? Souchon ? Cotillard ? Darmon ? Cabrel ? ... ?",31
4597,Le Mouvement des #GiletsJaunes dure depuis 3 mois ... ,31
3871,"Un container forcé, des jouets dispersés, des #GiletsJaunes qui rangent, des CRS qui les dérange, puis les repousse, avant enfin, de les matraquer... Pauvre France ! ",31
2634,Seuls le @csaudiovisuel et la #CommissionDesComptesne  ne s'en rendent pas compte.,30
300,(Vidéo du collectif GJ de Rungis IDF) ,30
4668,Le #GrandDebatNational de #Macron ne répond pas aux attentes des #GiletsJaunes ou des Français. Il s'agit d'une campagne électorale sur-commentée dans les médias et payée par les contribuables. ,30
20232,"Une centaine en province, une cinquantaine à Paris et en petite couronne, c’est le nombre de #giletsjaunes placés sur écoute téléphonique et/ou sous « espionnage » Internet. &gt;&gt;  @michelrevol ",30
5738,"Un monde fou hier à Concorde #Paris, avant même l'arrivée de la manifestation syndicale. On comprend mieux pourquoi la place a été gazée aux lacrymos pour éviter la jonction des deux foules. ",30
2872,Vous ne croyez pas au #GrandDébat ?,29
7793,".@ODelamarche sur le Grand débat : « Mais non, c'est ridicule. Il faut être sérieux. On sait bien que de toute façon, dans le carcan 🇪🇺, [E.#Macron] n'a pas le choix. C'est à dire que c'est pas lui qui décide. »",29
12044,Malgré les faux débats et  la #propagande que #Macron effectue avec la complicité des médias et de beaucoup trop de Maires complices de cette #campagne illicite ...le mouvement des #giletsjaunes est toujours soutenu par 65 % des français !,28
2351,La Cour des comptes sermonne Emmanuel Macron pour son laxisme budgétaire...,28
18955,"Embourbé entre la mobilisation #GiletsJaunes et l’affaire #Benalla , #Macron n’a trouvé que ça pour tenter de s’en sortir : nouvelle perquisition chez @mbompard le numéro 2 liste France Insoumise aux européennes ? Cette dérive autoritaire de #Macron va aller jusqu’où ?",28
13702,#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelhomme #Amnestyinternational #ViolencesPolicieres #France2 #BFM #CNN #CBSNews #RTFrance ,28
2375,Vous allez voir que Macron va accuser les #GiletsJaunes pour masquer son incapacité à respecter les engagements pris sur son #NouveauMonde qui ne devait tout changer 😡,28
14852,"Que le gouvernement rende publique la liste des policiers blessés par des Gilets Jaunes, qui justifierait de l'emploi du LBD40",28
9559,POURQUOI AUCUN #GROUPEGJ AUCUN DES #Giletsjaunes N A RELEVÉ ??????,27
9558,#Asselineau a lancé la procédure de destitution de #Macron ,27
19886,"J'ai vu les perquisitions à Médiapart et ce matin je vois les perquisitions chez @mbompard candidat France Insoumise pour les européennes 2019 ... Maintenant je sais qui dérange le pouvoir en place, et je sais pour qui je vais voter, pour la liste France Insoumise #GiletsJaunes",27
12349,D’hier à aujourd’hui rien n’a changé... sinon pire!! #Giletsjaunes #Repressionpolicière ,27
13258,Excellent Coluche... ✌️,27
3019,FAUDRAIT SAVOIR CE QU ON VEUT NON 🤬,27
11491,"Dossier à lire dans les Cahiers de février : comment filmer les  #GiletsJaunes ?  Entretiens avec @Francois_Ruffin et @Gilles_Perret, qui  montent un film prévu en salle pour le 3 avril, Pierre Carles, Florent Marcie &amp; Street Politics (@akraland). ",27
13004,1 SEUL DÉPUTÉ a été CONTACTÉ et à  ACCEPTÉ et il EN FAUT 58 😱,27
6540,"« La prétendue ""#LoiAntiCasseurs"" présentée par le gouvernement est en réalité une loi anti-#GiletsJaunes liberticide. Contre les casseurs professionnels, l'arsenal juridique existe déjà : il faut l'appliquer ! » @franceinfo ",26
15392,"Plutôt que de répondre au questionnaire biaisé du  #GrandDebat, je préfère celui d'@attac_fr qui met en avant de véritables pistes pour la  #JusticeFiscale ! #LAutreQuestionnaire  #GiletsJaunes ",26
13251,🔴 La France 🇫🇷 rappelle son ambassadeur d'Italie 🇮🇹 après «des attaques sans fondement»,26
12875,#GiletsJaunes #France #Italie,26
19277,"À ma connaissance, il n'y a pas eu de rappel d'ambassadeur depuis 1945 ",25
16657,7 #GiletsJaunes arrêtés ce matin à leur domicile à Villefranche s/s (69). Le groupe de Villefranche a toujours été pacifique 😡 ,25
16808,#rappel #GILETSJAUNES ,25
16806,"#Italie : les dernières ""ingérences"" que dénonce Paris (texte ci-dessous) qui justifient le rappel de l'ambassadeur, c'est la rencontre entre Di Maio et une délégation de gilets jaunes.",25
3263,Hier à l’occasion de la manifestation de #Dijon les locaux de la #CFDT ont été endommagés par des #giletsjaunes,25
11972,#Autun les #giletsjaunes déjà tous parqués en attendant Emmanuel macron qui arrivera en hélicoptère puma. ,25
11809,Pauvre riche écœuré pas les #GiletsJaunes … ,25
3264,"Il se confirme que la liberté d’opinion n’est pas de mise chez les gilets jaunes Mais ça, on le savait ",25
7542,Action policière pendant les mobilisations des #GiletsJaunes : violence à tous les étages exercée par le pouvoir #macroniste.,24
15995,➡️ Ce 7 février 2019 à 20h00 précises sur UPR TV #UPRTV #GiletsJaunes #RIC #Constitution #Européennes2019 ⤵️,24
15994,ÉTIENNE CHOUARD - FRANÇOIS ASSELINEAU,24
15993,🖥 UPR TV : LE GRAND ENTRETIEN,24
701,Hervé Mombo Kinga a été libéré le 04/02/2019 et a regagné son domicile le 05/02/2019,24
