,tweet,retweets
9943,"Un Français sur dix estime que l'attentat du 11 décembre à #Strasbourg était une «manipulation du gouvernement pour détourner l'attention» en plein mouvement des #GiletsJaunes, selon un sondage Ifop",23
17336,https://t.co/4W1ymegh2j https://t.co/KXigJZJRxK,23
17335,⚡️NÎMES - INSOLITE ⚠️ / L’entrée de la zone industrielle de #Grezan est bloquée ⛔️ par barrage impressionnant construit par des #GiletsJaunes ,23
9310,"Depuis l'élection de #Macron, diriez vous que votre situation s'est :",23
14788,#GrandDebatBeziers #GiletsJaunes https://t.co/0fdWIUCdRe,23
14787,"Un message émouvant, presque terrible. À écouter, à partager.",23
14342,Vous en pensez quoi ?,23
14340,"La #Police en France est tellement professionnelle, qu'a chaque fois qu'elle tire au Flash-Ball ce n'est pas pour toucher un casseur, mais des #GiletsJaunes .",23
14343,#Macron https://t.co/IcGiyYa3vI,23
9412,"#HevéMombo enfin libre: ""La #Démocratie qu'on nous vend au #Gabon c'est tout simplement la #Dictature""",22
20315,Donc pour l'ifop #Macron est à 34% d'opinion favorable et pour yougov il est à 21% y a quand même un sacré écart non ? 13 points c'est bien au delà de la marge d'erreur #Giletsjaunes https://t.co/PSvwo84EPU,22
20539,"Apeurés par la révolte populaire qui menace leurs intérêts, les milliardaires #XavierNiel et #MatthieuPigasse utilisent leur magazine pour attaquer le principal soutien des #GiletsJaunes et sauver Macron. ",21
14103,"Macron, coincé par la dette, n'aura pas d'autres choix que de ponctionner les Français encore plus Les #GiletsJaunes ont de beaux jours devant eux et auront encore plus de monde au fil des mois https://t.co/LvCy5I0tvL",21
20540,"L'oligarchie est aux abois, continuons le combat ! https://t.co/x4lp8zozJW",21
21411,Les #GiletsJaunes ont perdu la bataille des télés. #EmmanuelMacron mobilise les 4 chaînes d'infos durant 5 à 6 h de direct tous les 2 ou 3 jours. Or c'est tout sauf de la communication: ceux qui regardent voient que ces échanges sont profonds et sans tabou https://t.co/6iH4kFuAva,21
10198,Réponse : Macron l'utilise pour gazer la place de la Concorde !,21
10197,Mais où va donc notre argent ? Question #GiletsJaunes,21
10199,https://t.co/oPhSoOqwuZ,21
20092,"Je me demande ce qui se passerait si deux journalistes vénézuéliens, se faisant passer pour des touristes, filmaient le palais de l’Élysée avec leur téléphone portable un samedi après-midi pendant une manif des #GiletsJaunes. https://t.co/VtAMnzViYf",20
9616,#enfumage électoral https://t.co/9gEOCX2R26,19
16124,"Si vous ne voulez pas que les citoyens refusent les changements, faites des changements qui améliorent leur vie et non des changements qui la pourrissent... alors que pendant ce temps-là vos copains riches se gavent ! #Insoumis  #Ecologie #GiletsJaunes #ActeXIII #Acte13",19
10301,#GiletJaune #GiletsJaunes #assembleenationale #senat #droitsdelhomme #Amnestyinternational #ViolencesPolicieres #acte #TF1 #France2 #BFM #CNN #TV5 #CBSNews #RTFrance #LCI #Cnews https://t.co/YhUuo8EWPt,19
10300,https://t.co/hvnYtCFFdx,19
21315,#ActeXIII https://t.co/0h4rG6YUJ5,19
21314,64% des Français continuent à soutenir les #giletsjaunes (+2). Le mouvement ne s’essouffle que dans les éléments de langage d’En Marche !,19
10299,La France sous protection ...,19
9615,Les #GiletsJaunes demandent du #PouvoirDAchat il leur répond en se mettant en scène dans le #GrandDébat qu’il tentera de clôturer par un nébuleux référendum QCM,19
19770,"Ah déjà les écoutes ! On ne peut que s'interroger sur l'allocation des moyens de l'Etat et sa volonté de lutter c/ la criminalité. Ah les #giletsjaunes, vermines contestataires semblent mériter toutes les entraves (ironie). Comme c'est mal joué ! https://t.co/K0hbCZUKWo",19
9614,Macron tente de transformer la révolte fiscale qu’il a provoqué en crise institutionnelle,19
16905,"On teste un truc : on prend un journaliste vénézuélien, en France avec un visa de tourisme, on l’envoie un samedi de manifestation des #GiletsJaunes filmer l’Elysée sous plusieurs angles et continuant malgré les interventions de la police. ",18
19595,V'là c dit ⤵️ https://t.co/0QrGZtQma7,18
21058,#LBD,18
21056,#JeromeRodrigues,18
19594,"Malgré le bashing permanent &amp; les éditos à charge contre les #Insoumis, le 1er parti de France proche des préoccupations des #GiletsJaunes est la @FranceInsoumise",18
21055,#ViolencesPolicieres,18
21054,#Resistance,18
19593,Vous avez compris le pourquoi du comment de la UNE haineuse de l'@lobs à l'encontre de @JLMelenchon ?,18
16906,Et on regarde ce qu’il se passe https://t.co/iLiqLhqsL5,18
21057,#Flashball,18
8440,.@MLP_officiel : « Le mouvement des #GiletsJaunes est né d’un ras-le-bol fiscal. [...] La réponse du gouvernement ? La suppression de certaines niches fiscales... c’est à dire une augmentation des impôts ! » https://t.co/Gg8nUDvYST,18
11680,"Un #Referendum le jour des #Europeennes2019 serait sans doute pour #Macron une façon de noyer le poisson, mais ne faisons pas comme si la situation de notre pays n'avait rien à voir avec la politique européenne ! #ServicesPublics #Austérité https://t.co/0CsCHcJyCP",18
11679,📺 #GILETSJAUNES ET UNION EUROPÉENNE,18
13473,"Grand Débat de #Béziers : le message d'une maman de cinq enfants, handicapée, au Président Macron. #GrandDebatBeziers #GiletsJaunes https://t.co/ERt6RAGXQ2",18
21231,C'est une urgence d'agir pour les Français ! https://t.co/t7MyeNAZ6J,18
21230,- gel du plafond de ressources pour l'allocation handicapé,18
21138,⚡️AUTUN / Des #GiletsJaunes sont présents à #Autun pour la venue du président #Macron 🚁 au lycée militaire ,18
21139,https://t.co/ODRdQVVDaZ https://t.co/mLSSj2ciKu,18
21229,- 140.000 personnes dorment dehors,18
21228,"- hausse de la CSG à 1,7%",18
21227,Ce retraité exprime la souffrance des #GiletsJaunes fasse aux promesses vaines de #Macron,18
21322,"Le Président #Macron se déplace en Bourgogne pour y rencontrer notamment des jeunes et échanger avec eux. Visiblement, cela dérange les #GiletsJaunes qui se sont déplacés à #Autun pour y semer la pagaille : ""casser OUI, dialoguer NON"", telle est leur philosophie ! 👉 PITOYABLE ! https://t.co/OnfESYb5YZ",17
16751,#Giletsjaunes blessés : un étudiant interpelle #Castaner à la #Sorbonne lors d'un colloque (VIDEO),17
16752,#LBD40 ,17
16753,➡️ https://t.co/cm9k9SwxeR https://t.co/79kf6BO86Q,17
10404,@DLF_Officiel,17
21350,"J'ai trouvé une ""solution"" pour Eric Drouet : qu'il s'exile au Venezuela, avec Maxime Nicolle! #Giletsjaunes . Nous, on garde #Macron ! https://t.co/UKrscCTS0A",17
20350,64% des Français soutiennent les #GiletsJaunes et 77% jugent la mobilisation justifiée,17
10405,https://t.co/GNutPVPKcl,17
20132,"«Pourquoi une telle frilosité vis-à-vis d’une innovation sociale majeure : l’expérimentation d’un revenu de base, qui aurait être une réponse politique à la mobilisation des #GiletsJaunes sur le pouvoir d’achat ? Le #GrandDebat a lieu partout sauf ici au Parlement !» #DirectAN https://t.co/2aCB3PdvAS",17
10403,Vous pensiez que #Macron avait compris et écouté la colère du peuple ?...,17
10402,"Depuis 3 mois le peuple à travers les #GiletsJaunes dénonce les augmentations successives, taxes et impôts qui ne font que croitre.",17
8640,"📽️ Hallucinant, c'est les premiers effets de la Loi #anticasseurs de #DirectAN 🤔 ",17
8641,"Des Manifestants et des #GiletsJaunes parqués par les CRS, Rue de #Rivoli pendant 1h dans le froid sans aucune explication.  #GreveGenerale5fevrier  c'était dans #Paris",17
8642, https://t.co/o9jfAk8BD6,17
19666,⁦@batonnierparis⁩ #GiletsJaunes https://t.co/oUidy67Juk,16
20808,#Karma #GiletsJaunes https://t.co/thgRmZkAGb,16
10466,"#JeromeRodrigues ""prend du recul"". Après #JaclineMouraud, #IngridLevavasseur, #BenjaminCauchy qui ont subi des reproches, c'est le tour de ce proche d'#EricDrouet de s'éloigner des #GiletsJaunes. Parmi les raisons, le rapprochement avec l'#extremegauche? https://t.co/fO1ZIEQWci",16
14238,Un peu d'humour !,16
